reviewerID,asin,reviewText,overall,reviewTime
AC3SWL91QUYLG,B000002BBY,,5,"01 11, 1998"
A1I9G5LLBUMVQ3,B000003ZGA,,5,"01 11, 1998"
A3GE7F8RYX0CIB,630301139X,,5,"01 11, 1998"
A19FPYCKEMAUGC,B0000029YC,,5,"01 12, 1998"
AC4I27R5MYGUD,B000001GKE,,5,"01 12, 1998"
A2Z7SPGG3Q70V5,B000001HDZ,,4,"01 12, 1998"
AK001P767N1P2,B000002KCI,,5,"01 12, 1998"
A17YJC380XFYXP,767809688,,5,"01 13, 1998"
AXKWORRQ3CYI9,790729725,,5,"01 15, 1998"
A75TJE0TTRIFV,B000000U79,,4,"01 15, 1998"
AN09ELDCOXM12,B0000029YC,,5,"01 16, 1998"
A287Q541N4054B,B000002TQV,,5,"01 16, 1998"
A1B1EDJA70VATM,6304707606,,5,"01 16, 1998"
A36S5Y9FJBK23H,B00000053E,,5,"01 16, 1998"
A287Q541N4054B,B000002UJQ,,5,"01 16, 1998"
A1R36OA1WLZVMY,B000003F0Q,,5,"01 17, 1998"
A2IEU0WEQ1OTG3,B00000099X,,5,"01 17, 1998"
A2R1M427MLU8WJ,B000003FSM,,4,"01 18, 1998"
A3B95MCUZMG98R,1570199485,,5,"01 18, 1998"
A2Z7SPGG3Q70V5,B000005E4J,,5,"01 19, 1998"
A320T7NJ34VG60,B0000029YC,,5,"01 19, 1998"
A34PT8MMWAS9N6,B000002MFN,,4,"01 20, 1998"
A2HSFQTRNET1DK,6302842271,,5,"01 20, 1998"
AQF77RK408J77,630237278X,,5,"01 20, 1998"
AQF77RK408J77,B000002H4Q,,5,"01 20, 1998"
A36SWLB0G770G8,767817656,,5,"01 21, 1998"
A13YKTWPN58V2U,6301661710,,4,"01 21, 1998"
A94JGRWDVXSX2,6303124798,,5,"01 22, 1998"
A94JGRWDVXSX2,6304438176,,5,"01 22, 1998"
A23NAGTWZ51AER,B000000H52,,4,"01 23, 1998"
A10KLFMFZAZN10,B00000JL6V,,1,"01 25, 1998"
A2KX8QYDR8BX9W,B0000029YC,,5,"01 25, 1998"
A27AKGH7CQF5ZF,811815331,,5,"01 26, 1998"
A249SUGYXT0DUT,792846168,,5,"01 28, 1998"
A3JFJ0VCG7FHAE,B000002SL6,,5,"01 28, 1998"
A2Z7SPGG3Q70V5,B0000057DP,,5,"01 29, 1998"
A3FBILFOGY5NZ2,B0000029YC,,5,"01 30, 1998"
AM99YW10RSZGV,380723026,,5,"01 31, 1998"
A3U7U5XP0F7RXA,B000002BQK,,5,"01 31, 1998"
AW8BSP37LD2W2,1568327633,,5,"01 31, 1998"
A33HO5N1CZQ7Y2,6302256690,,2,"02 1, 1998"
AV3MZ820PA4NJ,B000000D3E,,4,"02 1, 1998"
A93EFT0KTGP6L,B000002VSL,,5,"02 2, 1998"
AVT9Q9PTUCDMR,B00000JSJ4,,5,"02 2, 1998"
A11B80S0TF9NNN,792842111,,5,"02 4, 1998"
A2FAH8YN2O99EH,B0000029YC,,5,"02 4, 1998"
A28BJ12568I17K,6303118240,,5,"02 5, 1998"
A28BJ12568I17K,6304182937,,5,"02 5, 1998"
A39V975IBEU1V4,B000001EA8,,5,"02 6, 1998"
A3V1CWPQDGTOVB,B0000029YC,,5,"02 7, 1998"
A39V975IBEU1V4,B000002OZS,,5,"02 7, 1998"
A28BJ12568I17K,6304745117,,5,"02 8, 1998"
A2AK19B3YBIPF9,B000000VC2,,5,"02 9, 1998"
AV3MZ820PA4NJ,B000005KPJ,,5,"02 9, 1998"
A2AK19B3YBIPF9,6304584229,,5,"02 9, 1998"
A1R36OA1WLZVMY,B000001GAR,,5,"02 10, 1998"
AIQ6V12TUKFPQ,6302640504,,5,"02 10, 1998"
AAC1MEOM9BMX2,B000002TSV,,5,"02 13, 1998"
A3PWR7F3THB9U7,B0000029YC,,5,"02 14, 1998"
A1VS1INJKC71MQ,6301394844,,5,"02 14, 1998"
A3QU5DPNSRN0S7,6302656125,,5,"02 14, 1998"
A1R36OA1WLZVMY,B0000029VK,,5,"02 15, 1998"
A37B49LNXNPXQO,079283318X,,4,"02 15, 1998"
AYVK9608GARCA,792846168,,5,"02 16, 1998"
A5UJD9VFCLUR1,B000002I8U,,5,"02 16, 1998"
A21CUJCDB2DOLE,1573623709,,5,"02 17, 1998"
A3HFTYADNYBCXK,B000003YXO,,5,"02 17, 1998"
AVIDHPA1MG9VR,B000002KDS,,5,"02 17, 1998"
A32ZX65D049SHE,783221487,,5,"02 17, 1998"
A39V975IBEU1V4,B00000163G,,5,"02 18, 1998"
A276CAO1634JJ4,B000002X45,,5,"02 18, 1998"
A23NNYX5W8SF87,6304736207,,5,"02 18, 1998"
A27ND779Z8QCCC,B0000009PX,,5,"02 18, 1998"
AIQ6V12TUKFPQ,6302032245,,5,"02 19, 1998"
A39V975IBEU1V4,B000002WPH,,5,"02 19, 1998"
A3E671AYZ8D06D,1558908382,,5,"02 19, 1998"
A3E08LB0X5A5OM,B000005KPF,,5,"02 20, 1998"
ADTVU70XWQHRB,B00000053X,,5,"02 20, 1998"
A3G3UFL0167621,B0000024QA,,5,"02 21, 1998"
A3GZ020B8DN2QA,6302032245,,5,"02 21, 1998"
A3GZ020B8DN2QA,B0000029YC,,2,"02 21, 1998"
A3VO6N3AJ4UEKS,6304612796,,5,"02 21, 1998"
A1NAWYD0PE4KOM,679887660,,5,"02 22, 1998"
A28BJ12568I17K,156219464X,,5,"02 22, 1998"
A1FJ0XRMYOVX6Z,6303433766,,5,"02 23, 1998"
A2J0SCIWKCVYWO,6303536069,,5,"02 23, 1998"
A2J0SCIWKCVYWO,630438551X,,5,"02 23, 1998"
A28BJ12568I17K,6304164084,,5,"02 24, 1998"
A28BJ12568I17K,6303481264,,5,"02 24, 1998"
ADL8NM97FJLPZ,6303610811,,5,"02 24, 1998"
A1FJ0XRMYOVX6Z,6304342950,,5,"02 24, 1998"
A2E1TKU23DURA1,6302043158,,5,"02 25, 1998"
A3I74UYT5RAZQH,6301562925,,5,"02 26, 1998"
A3I74UYT5RAZQH,6304675348,,5,"02 26, 1998"
A28BJ12568I17K,6302758548,,4,"02 27, 1998"
A328HFLQL05XLL,792846168,,5,"03 1, 1998"
A175CZ361L8NI3,6304083769,,5,"03 4, 1998"
A2RX4CECX0W0RK,B000002VUV,,5,"03 4, 1998"
A2RX4CECX0W0RK,B000002VUZ,,5,"03 4, 1998"
A1WA7UB5KM3Q9Y,630237250X,,5,"03 4, 1998"
A3G03RORDHPWM4,B0000029YC,,5,"03 5, 1998"
A189CR2056GZFB,B000005ENT,,5,"03 6, 1998"
A1HK8ITNP7LNB1,1853025771,,5,"03 6, 1998"
A35K43TJMUS9AE,B000002696,,5,"03 7, 1998"
A2XNP9WUWS73PK,6302049040,,5,"03 8, 1998"
APMA4J94955RF,B0000029YC,,5,"03 8, 1998"
A39V975IBEU1V4,B000002TWQ,,5,"03 9, 1998"
A1DKWN6XFV3FXR,767803434,,4,"03 9, 1998"
A2U480CFY0OAF9,6304016212,,5,"03 10, 1998"
A27DGU11N3LVGQ,312180365,,5,"03 10, 1998"
A3AXGC8O9E23LS,1566871034,,4,"03 10, 1998"
A307UTD11YR1NP,B0000029J5,,5,"03 12, 1998"
A2DM2T80K9XV1B,6301966686,,5,"03 12, 1998"
A1HX2AP04VB6PE,B00000255X,,5,"03 13, 1998"
A29J4PGZI9Q0IB,B000001FEE,,5,"03 13, 1998"
A1A5U4S9ZQA9TU,6304119003,,2,"03 14, 1998"
A1A5U4S9ZQA9TU,6302658292,,5,"03 14, 1998"
A2VELW3RN4H4MF,B000005H72,,5,"03 15, 1998"
A39V975IBEU1V4,B0000013GT,,4,"03 17, 1998"
A1RDJZ7S7VNX6V,6300271145,,5,"03 17, 1998"
A2L3LVHGEYE118,B000000TDH,,5,"03 17, 1998"
AA1TO6J213BLJ,6304683235,,5,"03 18, 1998"
AWOI9TPI6MWU9,B0000009TE,,5,"03 18, 1998"
A2YN5YAS1UPF9S,1572315725,,5,"03 18, 1998"
A2Q6KI3JS78K10,395891701,,4,"03 19, 1998"
A11LFXIE2ZNGCB,B0000029YC,,5,"03 19, 1998"
A2F6Z9HJPKB4FN,630356805X,,5,"03 20, 1998"
A2AW4OPPVPWXW2,B007WU2NFG,,3,"03 21, 1998"
A2SQ8TF5PO3S33,B000002C4J,,5,"03 22, 1998"
A1U6UAKILNUQVQ,B000000F77,,5,"03 22, 1998"
A1UN0CA5X8NNB3,B0000028PI,,5,"03 22, 1998"
A36IIARS87T2SS,6302484286,,5,"03 22, 1998"
A2W78KP8ZHD46,1567186734,,5,"03 23, 1998"
A1FHXPY5ULEFRX,B000002H6L,,5,"03 23, 1998"
AVIDHPA1MG9VR,B000001Y2U,,5,"03 24, 1998"
AFAIH62LPHD2P,6303334385,,2,"03 24, 1998"
A3R1FQQDO27DRI,B000005X54,,5,"03 24, 1998"
A1JZNZECKMN3RN,6304504012,,5,"03 24, 1998"
A122EZ7ZLFZB51,800184319,,5,"03 24, 1998"
A14IMGZEEY0PQK,6303012140,,5,"03 25, 1998"
A2CNGVWIUL91TB,B00000JZHF,,5,"03 26, 1998"
A39V975IBEU1V4,B0000039QD,,4,"03 26, 1998"
A39V975IBEU1V4,B000001EYA,,5,"03 27, 1998"
A39V975IBEU1V4,B000002HFU,,5,"03 27, 1998"
A3GPXKKX2LXJPY,B0000058MS,,5,"03 28, 1998"
A219DG54YYQ1UT,B000000X74,,5,"03 28, 1998"
A2O3BWIVLTMJ6X,6300247236,,5,"03 28, 1998"
A2O3BWIVLTMJ6X,B0000026M6,,5,"03 28, 1998"
AORW1FRF4D4KS,6303567126,,5,"03 28, 1998"
A37A80Z0L8GZU3,1572522089,,5,"03 28, 1998"
A2O3BWIVLTMJ6X,6304199058,,5,"03 28, 1998"
A37A80Z0L8GZU3,6302484502,,4,"03 28, 1998"
A38MJO7MJ83FJ1,B000002RTW,,5,"03 30, 1998"
A1E75ZUQ3ZY2OF,B0000009SY,,5,"03 30, 1998"
A2BNJDOB4OY7BZ,B000002HCO,,5,"03 30, 1998"
AISE9B61ELN35,6302814782,,5,"03 31, 1998"
A1X8LK29BOC1U1,6302101778,,5,"04 1, 1998"
A2O3BWIVLTMJ6X,B000002WXA,,5,"04 1, 1998"
A170J6NR7SELSK,790732246,,5,"04 1, 1998"
A17N5YIZGF9GT4,486211452,,4,"04 1, 1998"
A25W58TZK09YET,079284002X,,4,"04 3, 1998"
A25W58TZK09YET,792841042,,5,"04 3, 1998"
AFYYHRPSFBLWS,B000002C4H,,4,"04 3, 1998"
AJ4NMYV0GCQJG,6303124798,,5,"04 3, 1998"
A25W58TZK09YET,6302684846,,2,"04 3, 1998"
A1A78IT6T7S776,965984729,,5,"04 4, 1998"
A25W58TZK09YET,6302120527,,5,"04 4, 1998"
A30N9PZUVFHNLA,630438551X,,5,"04 4, 1998"
A1TOW5FZCKHOUU,6304393075,,5,"04 4, 1998"
ASM34H6GSAF9J,B000002JJA,,5,"04 4, 1998"
A1WQ2RMQ4U8S02,B000002I1B,,5,"04 5, 1998"
A3IMDFUHU6SX2P,790733226,,5,"04 6, 1998"
A3RIAIT4YMMYTN,B000005HN6,,5,"04 6, 1998"
A3RIAIT4YMMYTN,B000005HN9,,4,"04 6, 1998"
A3RIAIT4YMMYTN,B000005HNA,,5,"04 6, 1998"
A3RIAIT4YMMYTN,B000003H2Y,,5,"04 6, 1998"
A25W58TZK09YET,6302682622,,5,"04 6, 1998"
A2V2AW7P2U8SZ7,6303853102,,5,"04 7, 1998"
AF7GH849D9326,6302453151,,5,"04 7, 1998"
A2I7NDC7QGX2W8,6304123523,,5,"04 8, 1998"
A255E1L105V4MU,964349604,,5,"04 8, 1998"
A3T5GQ2KD2SVJS,6304504012,,5,"04 8, 1998"
A1ZMB7VOTSI3GF,B0000009PX,,5,"04 8, 1998"
ALU2IJ2DZD86X,6302182840,,5,"04 9, 1998"
A2WBCQWG6JGZKP,773399429,,5,"04 9, 1998"
A3KVW2KI45SQPV,B0000029YC,,5,"04 11, 1998"
A35JUUGG7591PT,6304264860,,1,"04 11, 1998"
A25W58TZK09YET,6302120616,,5,"04 16, 1998"
A25W58TZK09YET,079074774X,,5,"04 17, 1998"
A3PI7QJVIM0944,1569312478,,5,"04 17, 1998"
A2JOIB2RRWAF2Q,6301662946,,5,"04 17, 1998"
A3VQK36PCGH8CD,792838955,,5,"04 17, 1998"
A25W58TZK09YET,6302682606,,5,"04 17, 1998"
AMGO6QANNTKET,790742802,,2,"04 18, 1998"
A1I0CP7SG8X7ZG,891075275,,5,"04 18, 1998"
AL3RUEQOMXOHF,6300270270,,4,"04 18, 1998"
A2JEOGQA6NYMLB,891075275,,5,"04 20, 1998"
A25MZ5JJ7HEZFN,B000000YRE,,5,"04 20, 1998"
A1DQ9D8DWCWF9H,B0000019G7,,5,"04 20, 1998"
A1DQ9D8DWCWF9H,B000003RO5,,5,"04 20, 1998"
A39157ZIDZRC5I,782009123,,5,"04 20, 1998"
AJWEQNIQTLQK2,6304674686,,3,"04 20, 1998"
AP5QQ9J282O3J,6304707355,,5,"04 20, 1998"
A1DQ9D8DWCWF9H,B000001V1X,,5,"04 20, 1998"
AJWEQNIQTLQK2,6303998569,,2,"04 20, 1998"
A3L1AT2OUJLQMI,B000002VMH,,4,"04 20, 1998"
A3E7SVH8188LMS,B00000257S,,5,"04 21, 1998"
AB9C09GDUBZRM,B000003SUB,,5,"04 21, 1998"
AZBKUGS5SRDUD,B000000MUQ,,5,"04 21, 1998"
A167ZPKNVVMIJO,B0000036RP,,5,"04 21, 1998"
A1AE7LQ10XSOXE,B000002J85,,5,"04 21, 1998"
A2A4VKIVOK2LIZ,B000002N74,,5,"04 22, 1998"
A1GOA7ECL05LYC,790733226,,5,"04 22, 1998"
A15H40PXG6LCN8,B000003BJK,,4,"04 22, 1998"
A2XPS5KQ4ORXJF,B00000062A,,5,"04 22, 1998"
A3OS0Q4XX0QSA4,B000002L22,,5,"04 22, 1998"
A2A4VKIVOK2LIZ,B000002JWU,,5,"04 22, 1998"
A3BV6L0MGSZGDP,B000001EYE,,5,"04 23, 1998"
A1K65FDM97X6B4,B000002NHG,,5,"04 23, 1998"
AGUMWOWLJ1G56,B000002OFG,,5,"04 23, 1998"
A1DQ9D8DWCWF9H,B000001BD7,,5,"04 23, 1998"
A1DQ9D8DWCWF9H,B000001BDO,,5,"04 23, 1998"
A1HPMKGVXPRUA9,B000002AUU,,5,"04 23, 1998"
A207TGNCBH0P61,B0000033G7,,5,"04 23, 1998"
AN9DU55MQIYJQ,630326994X,,5,"04 23, 1998"
A1HPMKGVXPRUA9,B000005HMA,,5,"04 23, 1998"
A1DQ9D8DWCWF9H,B000005IRG,,5,"04 23, 1998"
A10YPNX181Y4DR,B000000HP1,,5,"04 23, 1998"
A1L9EQB0OETZ93,B000000I0I,,4,"04 23, 1998"
A1HPMKGVXPRUA9,B000003H2Y,,5,"04 23, 1998"
A1P1SS896T7G8B,B000001M7U,,5,"04 23, 1998"
A2UEEN1RBSJ1RA,B0000062HU,,5,"04 23, 1998"
A2NSQ3EK4VATH8,B0000062RP,,5,"04 23, 1998"
A1DQ9D8DWCWF9H,B000002KBT,,5,"04 23, 1998"
A2KPYHRX9ATTI9,B000004753,,5,"04 24, 1998"
A24Z7238Z0SK5J,B000000WCV,,5,"04 24, 1998"
A22WZDA42V3PRJ,B000000YGN,,5,"04 24, 1998"
AVF53P0B6TH84,B000001Y9K,,5,"04 24, 1998"
A1UT343S8JV2H1,B000002NB7,,5,"04 24, 1998"
A98UAZPK7ST1L,B000002ADT,,5,"04 24, 1998"
ATFFZXME970F7,B000002AGH,,5,"04 24, 1998"
A1JCJ15W93V4DA,B0000031BT,,5,"04 24, 1998"
A3H94SBSFIPOY5,B000002U0R,,5,"04 24, 1998"
A2M1KEO3G2GRQH,B000003QLT,,5,"04 24, 1998"
A6EI14RU388B4,B000000D2K,,5,"04 24, 1998"
A2KKUEEAZQK3G5,B000000EKG,,4,"04 24, 1998"
A1E3NIGSPBYU04,B000003CJ9,,5,"04 24, 1998"
A2I13MQIJDSEG8,B000003CLD,,5,"04 24, 1998"
A2I13MQIJDSEG8,B000003CN3,,4,"04 24, 1998"
A39NAMBYME88F8,6304907311,,5,"04 24, 1998"
A28X934XWONF1V,B000002L68,,5,"04 24, 1998"
A28X934XWONF1V,B000002LBM,,5,"04 24, 1998"
AYX1FRZ5U168V,B0000014KL,,4,"04 25, 1998"
AOG62DF78ZYVX,B000002GBK,,5,"04 25, 1998"
A3LVN75RHOFAIV,B000002GKJ,,5,"04 25, 1998"
A2700ZGP3I4VRH,B000002MG4,,5,"04 25, 1998"
A1MB6VY52CP904,B000002BLZ,,5,"04 25, 1998"
AJR3PFGHWPF7Z,B000002VNS,,5,"04 25, 1998"
A1MB6VY52CP904,B000002VOO,,5,"04 25, 1998"
ASMQVJPKSBJXG,B0000031EO,,5,"04 25, 1998"
A11OR8HXDV39RZ,B000002U4A,,5,"04 25, 1998"
A2700ZGP3I4VRH,B000003QJR,,5,"04 25, 1998"
A2VDK0XBEVL3S5,B000003RYJ,,5,"04 25, 1998"
AYX1FRZ5U168V,B000003S2F,,5,"04 25, 1998"
A30OS75Z814OSW,B000005KQT,,5,"04 25, 1998"
A2700ZGP3I4VRH,B000000HOX,,5,"04 25, 1998"
A1MB6VY52CP904,B0000027T7,,5,"04 25, 1998"
A1AAYSLVTYBG6,B0000004BD,,5,"04 25, 1998"
A2SKZM9Y2OBX6A,6304312148,,1,"04 25, 1998"
AABM0DOLAVXQS,B000000V1A,,5,"04 25, 1998"
A2700ZGP3I4VRH,630251228X,,5,"04 25, 1998"
A2700ZGP3I4VRH,B000002HR0,,5,"04 25, 1998"
A1AAYSLVTYBG6,B000002IOH,,5,"04 25, 1998"
A2Y9BZA1ICZKOD,B000002UAN,,5,"04 25, 1998"
AYPI71OQT9D50,B000005COQ,,4,"04 26, 1998"
A11OR8HXDV39RZ,B000002036,,5,"04 26, 1998"
A35LA7T7OIEZYH,B000002546,,5,"04 26, 1998"
A2MO0VIV71I9NO,B000001FI7,,5,"04 26, 1998"
A3EYU9DH5OFXYA,B00000344C,,5,"04 26, 1998"
A3LYCJNCU3N685,B000005ITX,,5,"04 26, 1998"
A11OR8HXDV39RZ,B000005ZJF,,5,"04 26, 1998"
